avatar_id,avatar_name,gender,preview_image_url,preview_video_url
Ivan_public_2_20240312,Ivan in Suit,male,https://files2.heygen.ai/avatar/v3/edbc3c434aa64141beb3e6b20602d781_14903/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/edbc3c434aa64141beb3e6b20602d781_14903/preview_video_talk_1.mp4
Ivan_public_4_20240312,Ivan in Sweater,male,https://files2.heygen.ai/avatar/v3/835cf0a1642c4e8e92d206ea277920e1_14903/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/835cf0a1642c4e8e92d206ea277920e1_14903/preview_video_talk_5.mp4
Jason_public_2_20240312,Jason in Black Jacket,male,https://files2.heygen.ai/avatar/v3/21374cc61f4c4a81971088ea00bbfd1f_15009/preview_target.webp,https://files2.heygen.ai/avatar/v3/21374cc61f4c4a81971088ea00bbfd1f_15009/preview_video_target.mp4
Jason_public_3_20240312,Jason in Blue Suit,male,https://files2.heygen.ai/avatar/v3/0622907387de443193028d6f055a1343_15009/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/0622907387de443193028d6f055a1343_15009/preview_video_talk_4.mp4
Jason_public_20240312,Jason in Gray Shirt,male,https://files2.heygen.ai/avatar/v3/7315c3664db441a48a19d55ef80c0cac_15009/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/7315c3664db441a48a19d55ef80c0cac_15009/preview_video_talk_2.mp4
Jin_Blue_Casual_Front_public,Jin Blue Casual Front,female,https://files2.heygen.ai/avatar/v3/20c964c5869042c687c5813c8a8a8c90_43380/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/20c964c5869042c687c5813c8a8a8c90_43380/preview_video_talk_2.mp4
Jin_Blue_Casual_Side_public,Jin Blue Casual Side,female,https://files2.heygen.ai/avatar/v3/e6b6af595712410bbb77af0a4e77dbce_43390/preview_target.webp,https://files2.heygen.ai/avatar/v3/e6b6af595712410bbb77af0a4e77dbce_43390/preview_video_target.mp4
Jin_Business_Coffee_Mode_Front_public,Jin Business Café Mode Front,female,https://files2.heygen.ai/avatar/v3/21e007276a5044a3ae5ac61b300cfe42_43420/preview_target.webp,https://files2.heygen.ai/avatar/v3/21e007276a5044a3ae5ac61b300cfe42_43420/preview_video_target.mp4
Jin_Business_Coffee_Mode_Side_public,Jin Business Café Mode Side,female,https://files2.heygen.ai/avatar/v3/33322c2138e34155bbddb19239f90853_43430/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/33322c2138e34155bbddb19239f90853_43430/preview_video_talk_1.mp4
Jin_Business_Sitting_Front_public,Jin Business Sitting Front,female,https://files2.heygen.ai/avatar/v3/1b46b4b37c5d4cf492bd9e81cdc04356_43420/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/1b46b4b37c5d4cf492bd9e81cdc04356_43420/preview_video_talk_2.mp4
Jin_Business_Sitting_Side_public,Jin Business Sitting Side,female,https://files2.heygen.ai/avatar/v3/3e39d646223545509db0d44b8f546e99_43430/preview_target.webp,https://files2.heygen.ai/avatar/v3/3e39d646223545509db0d44b8f546e99_43430/preview_video_target.mp4
Jin_Casual_Coffee_Mode_Front_public,Jin Casual Café Mode Front,female,https://files2.heygen.ai/avatar/v3/d5dc4b23bcbf49b493a3379c10f48781_43380/preview_target.webp,https://files2.heygen.ai/avatar/v3/d5dc4b23bcbf49b493a3379c10f48781_43380/preview_video_target.mp4
Jin_Casual_Coffee_Mode_Side_public,Jin Casual Café Mode Side,female,https://files2.heygen.ai/avatar/v3/2ddb844f42a5455fba4de7d080b1e1e2_43390/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/2ddb844f42a5455fba4de7d080b1e1e2_43390/preview_video_talk_1.mp4
Jin_Suit_Front_public,Jin Suit Front,female,https://files2.heygen.ai/avatar/v3/d1911c218dec4cf388b0b0de1b588d05_43420/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/d1911c218dec4cf388b0b0de1b588d05_43420/preview_video_talk_1.mp4
Jin_Suit_Side_public,Jin Suit Side,female,https://files2.heygen.ai/avatar/v3/aefa97afc4014d3388e80194d617a74f_43430/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/aefa97afc4014d3388e80194d617a74f_43430/preview_video_talk_2.mp4
Jin_in_Education_Front_public,Jin in Education Front,female,https://files2.heygen.ai/avatar/v3/65a1d2c0c10c4983ad91b790839e40fc_43400/preview_target.webp,https://files2.heygen.ai/avatar/v3/65a1d2c0c10c4983ad91b790839e40fc_43400/preview_video_target.mp4
Jin_in_Education_Side_public,Jin in Education Side,female,https://files2.heygen.ai/avatar/v3/b27c3fb37e454e5b8455aa8fd2d86b24_43410/preview_target.webp,https://files2.heygen.ai/avatar/v3/b27c3fb37e454e5b8455aa8fd2d86b24_43410/preview_video_target.mp4
Judy_Casual_Front_public,Judy Casual Front,female,https://files2.heygen.ai/avatar/v3/4a1b866440034b6e80a7d8299788e9c4_43240/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/4a1b866440034b6e80a7d8299788e9c4_43240/preview_video_talk_3.mp4
Judy_Casual_Side_public,Judy Casual Side,female,https://files2.heygen.ai/avatar/v3/35ac2c490fcd4e5abeb4cfe6d85493ec_43250/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/35ac2c490fcd4e5abeb4cfe6d85493ec_43250/preview_video_talk_4.mp4
Judy_Nurse_Front2_public,Judy Nurse Front 2,female,https://files2.heygen.ai/avatar/v3/b5e2d4736a014d688957c0b0f9399f46_43240/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/b5e2d4736a014d688957c0b0f9399f46_43240/preview_video_talk_2.mp4
Judy_Nurse_Side2_public,Judy Nurse Side 2,female,https://files2.heygen.ai/avatar/v3/af7607a5d023418eaec9596b89bd6edb_43250/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/af7607a5d023418eaec9596b89bd6edb_43250/preview_video_talk_2.mp4
Judy_Suit_Front_public,Judy Suit Front,female,https://files2.heygen.ai/avatar/v3/a9b93d5caa494bd1ba9eb07b2eeceb91_43240/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/a9b93d5caa494bd1ba9eb07b2eeceb91_43240/preview_video_talk_4.mp4
Judy_Suit_Side_public,Judy Suit Side,female,https://files2.heygen.ai/avatar/v3/6ed033c167474e0a8b61f2924541a59c_43250/preview_talk_3.webp,https://files2.heygen.ai/avatar/v3/6ed033c167474e0a8b61f2924541a59c_43250/preview_video_talk_3.mp4
Justin_public_2_20240308,Justin in Black Shirt,male,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_video_talk_2.mp4
Justin_public_20240308,Justin in Black Suit,male,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_talk_5.webp,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_video_talk_5.mp4
Justin_public_3_20240308,Justin in White Shirt,male,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_target.webp,https://files2.heygen.ai/avatar/v3/9ae54bef2c444d68bbbb63021df4bbbb_14944/preview_video_target.mp4
Kelly_Blue_Shirt_Front,Kelly in Blue Shirt  (Front),female,https://files2.heygen.ai/avatar/v3/7d810f2227674342ac60646c2434ad73_34380/preview_target.webp,https://files2.heygen.ai/avatar/v3/7d810f2227674342ac60646c2434ad73_34380/preview_video_target.mp4
Kelly_Blue_Shirt_Left,Kelly in Blue Shirt (Left),female,https://files2.heygen.ai/avatar/v3/04980c3e031d44f1a255ee0320eb0e86_34390/preview_target.webp,https://files2.heygen.ai/avatar/v3/04980c3e031d44f1a255ee0320eb0e86_34390/preview_video_target.mp4
Kelly_Blue_Shirt_Right,Kelly in Blue Shirt (Right),female,https://files2.heygen.ai/avatar/v3/cc36136a7fcf423ba1569f9d8523b226_34400/preview_target.webp,https://files2.heygen.ai/avatar/v3/cc36136a7fcf423ba1569f9d8523b226_34400/preview_video_target.mp4
Kelly_Doctor_Front,Kelly in Doctor (Front),female,https://files2.heygen.ai/avatar/v3/022319a6924342cb9d20a55a2bb3ea5e_34380/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/022319a6924342cb9d20a55a2bb3ea5e_34380/preview_video_talk_2.mp4
Kelly_Doctor_Left,Kelly in Doctor (Left),female,https://files2.heygen.ai/avatar/v3/2322f9adec6647d9a6c8fb20ca326204_34390/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/2322f9adec6647d9a6c8fb20ca326204_34390/preview_video_talk_2.mp4
Kelly_Doctor_Right,Kelly in Doctor (Right),female,https://files2.heygen.ai/avatar/v3/7dd586797b57486084c509fb0c20930f_34400/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/7dd586797b57486084c509fb0c20930f_34400/preview_video_talk_2.mp4
Lily_public_pro1_20230614,Leah in Black Suit,female,https://files2.heygen.ai/avatar/v3/51267c0f0f2045518a8c66bb1709bf2a_2654/preview_target.webp,https://files2.heygen.ai/avatar/v3/51267c0f0f2045518a8c66bb1709bf2a_2654/preview_video_target.mp4
Luke_public_2_20240306,Luke in Yellow Jacket,male,https://files2.heygen.ai/avatar/v3/c326a7d470be4cd0b949cde567a68567_14857/preview_target.webp,https://files2.heygen.ai/avatar/v3/c326a7d470be4cd0b949cde567a68567_14857/preview_video_target.mp4
Maria_public_2_20240111,Maria in Black Suit,female,https://files2.heygen.ai/avatar/v3/59f9b51a1c3c4218a74dd324b0ac9e1e_13310/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/59f9b51a1c3c4218a74dd324b0ac9e1e_13310/preview_video_talk_4.mp4
Mason_public_3_20240304,Mason in Blue Sweater,male,https://files2.heygen.ai/avatar/v3/e7425ff40f38498085030cafa8108034_14757/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/e7425ff40f38498085030cafa8108034_14757/preview_video_talk_1.mp4
Neil_public_2_20240328,Neil in Black Shirt,male,https://files2.heygen.ai/avatar/v3/d64ba0e79efb4f7b8b156d429b035ae0_18200/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/d64ba0e79efb4f7b8b156d429b035ae0_18200/preview_video_talk_2.mp4
Neil_public_20240328,Neil in Black Suit ,male,https://files2.heygen.ai/avatar/v3/e3266036ba1f427c8c3267f894006e11_18200/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/e3266036ba1f427c8c3267f894006e11_18200/preview_video_talk_4.mp4
Neil_public_3_20240328,Neil in Yellow Jacket,male,https://files2.heygen.ai/avatar/v3/71c4aa021e6f4b10b0b1b4bb3742b8c4_18200/preview_target.webp,https://files2.heygen.ai/avatar/v3/71c4aa021e6f4b10b0b1b4bb3742b8c4_18200/preview_video_target.mp4
Odelia_public_2_20240326,Odelia in Blue Suit,female,https://files2.heygen.ai/avatar/v3/ad5ddeb5b3b2417c8474fc2f3b93af72_16270/preview_target.webp,https://files2.heygen.ai/avatar/v3/ad5ddeb5b3b2417c8474fc2f3b93af72_16270/preview_video_target.mp4
Odelia_public_3_20240326,Odelia in Red Dress ,female,https://files2.heygen.ai/avatar/v3/8c5b23e75d7c4584a0cbb8471fd7ac17_16270/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/8c5b23e75d7c4584a0cbb8471fd7ac17_16270/preview_video_talk_2.mp4
Odelia_public_20240326,Odelia in Yellow Suit,female,https://files2.heygen.ai/avatar/v3/12c23ceab7ca4022824e1d20c48efdcf_16270/preview_talk_4.webp,https://files2.heygen.ai/avatar/v3/12c23ceab7ca4022824e1d20c48efdcf_16270/preview_video_talk_4.mp4
Onat_Casual_Front_public,Onat Casual Front,male,https://files2.heygen.ai/avatar/v3/89e785397e134e74b9d151cef186fd18_42170/preview_target.webp,https://files2.heygen.ai/avatar/v3/89e785397e134e74b9d151cef186fd18_42170/preview_video_target.mp4
Onat_Casual_Side_public,Onat Casual Side,male,https://files2.heygen.ai/avatar/v3/460be1b4e464490aac05dd49a015fc36_42160/preview_target.webp,https://files2.heygen.ai/avatar/v3/460be1b4e464490aac05dd49a015fc36_42160/preview_video_target.mp4
Onat_Macbook_Front2_public,Onat Macbook Front 2,male,https://files2.heygen.ai/avatar/v3/ea9dbb4e93064b91998f52ce4ce4dbe1_43160/preview_talk_1.webp,https://files2.heygen.ai/avatar/v3/ea9dbb4e93064b91998f52ce4ce4dbe1_43160/preview_video_talk_1.mp4
Onat_Macbook_Front_public,Onat Macbook Front,male,https://files2.heygen.ai/avatar/v3/1e698e3842864d18b5150798de032a29_42200/preview_target.webp,https://files2.heygen.ai/avatar/v3/1e698e3842864d18b5150798de032a29_42200/preview_video_target.mp4
Onat_Macbook_Side2_public,Onat Macbook Side 2,male,https://files2.heygen.ai/avatar/v3/b85308fcc45649a59de48e1bc3d33c36_42130/preview_target.webp,https://files2.heygen.ai/avatar/v3/b85308fcc45649a59de48e1bc3d33c36_42130/preview_video_target.mp4
Onat_Macbook_Side_public,Onat Macbook Side,male,https://files2.heygen.ai/avatar/v3/ef074452bf15468e8bc3da2899696ac9_42210/preview_talk_2.webp,https://files2.heygen.ai/avatar/v3/ef074452bf15468e8bc3da2899696ac9_42210/preview_video_talk_2.mp4
Onat_Suit_Front_public,Onat Suit Front,male,https://files2.heygen.ai/avatar/v3/e2811ccbb3b247fabf76a93d288a75a6_43160/preview_target.webp,https://files2.heygen.ai/avatar/v3/e2811ccbb3b247fabf76a93d288a75a6_43160/preview_video_target.mp4
